set,sme,claude,gemini,deepseek,consensus
2017ewas.confE...8B_similar_judgements_llm_scored_results,0.8658319408110798,0.8257770034382481,0.0,0.8450099608387827,1.0
2023PhDT........28P_similar_llm_scored_results,0.0,0.9954773291388623,0.0,0.9552275908907609,0.9685696272816313
2023arXiv231214211B_similar_judgements_llm_scored_results,0.9433377672186092,0.9046417969477691,0.0,0.9273374384649733,0.9028609566787981
2021GSR.....9....1J_similar_judgements_llm_scored_results_llm_scored_results,0.9951469223816316,0.9558568029579292,0.9774504771753327,0.969033330035179,0.9641175064768848
2021GSR.....9....1J_similar_judgements_llm_scored_results,0.9951469223816316,0.9614127150350343,0.9730881829314222,0.7631663826795609,0.7752570936912946
2021GSR.....9....1J_similar_judgements_llm_scored_results,0.9951469223816316,0.9614127150350343,0.9774504771753327,0.9708716515453032,0.8428282648809379
2015A&A...577A..47B_similar_judgements_llm_scored_results,0.44838766479948233,0.8109919525240052,0.5698390331876637,0.4941571219260242,0.5189503039344597
2022ApJ...927..165R_similar_llm_scored_results,0.0,0.9739420596856404,0.0,0.9791915038241161,0.9545099814473282
2021pds..data..188J_similar_judgements_llm_scored_results,0.8972032149495144,0.9205288070329188,0.8960602704816613,0.8760974847280684,0.9262123303145904
2022Icar..38815237J_similar_judgements_llm_scored_results,1.0,0.9799453803526372,0.9608688886603114,0.9021489270154559,1.0
2020AcAau.170....6J_similar_judgements_llm_scored_results,0.9760833926096343,0.8694427650939476,0.8551197722860281,0.895317363948486,0.8473309375804623
2013ApJ...774..100K_similar_llm_scored_results,0.0,0.9737785881050125,0.9479086448894539,0.8992150509955595,0.9659238902765536
2020AAS...23520720P_similar_llm_scored_results,0.0,0.9759042683839916,0.9723278045868262,0.9560506338667898,0.9537759422727623
2020AAS...23520720P_full_prompt_llm_scored_results,0.0,1.0,1.0,0.9967783988348039,0.9538828753732315
2019MNRAS.486.2075B_similar_judgements_llm_scored_results,0.6166656621125921,0.8079266437689069,1.0,0.6819196548524231,0.7579237460681981
2024PSJ.....5..183J_similar_judgements_llm_scored_results,0.8921125373204262,0.9496023928764085,0.9523194782027096,0.9411066609372032,0.9512800527582846
2015MNRAS.454.3722S_similar_judgements_llm_scored_results,0.9131342680569761,0.9682674305565648,0.9386205341648801,0.9514108256464803,0.9240525492298411
2015MNRAS.454.3722S_similar_llm_scored_results,0.0,0.9682674305565648,0.9264230497700618,0.9425381221061202,0.9470483392285729
2014A&A...569A.111B_similar_judgements_llm_scored_results,0.6921327635644973,0.8082122482748462,0.45816588435103495,0.7199718150090243,0.5657612344816975
1987JGR....9214969O_similar_judgements_llm_scored_results,0.842222881415911,0.9082005536045177,0.6658702053611228,0.8336411548259437,0.9231626798658232
2023PSJ.....4..214R_similar_judgements_llm_scored_results,0.6676327199370476,0.9582597970809908,0.709363251142055,0.6033004139230962,0.6923411674947063
2019AcAau.155..131J_similar_judgements_llm_scored_results,0.9924726819224916,0.8993567593861999,0.9412327360867762,0.9489760896250589,0.9767159512943149
2020PhDT........27J_similar_judgements_llm_scored_results,1.0,0.9654085037147327,0.7614080298920688,0.9528407186027175,0.9723749245940547
2013ApJ...775..116R_similar_llm_scored_results,0.0,0.8826507873404478,0.9111520824323396,0.9171815321233153,1.0
2025arXiv250507749R_similar_llm_scored_results,0.0,0.9458405538217212,0.8935174740961241,0.9099143593446473,0.8935174740961241
2022ApJ...931...44P_similar_judgements_llm_scored_results,0.994732373465828,0.994732373465828,1.0,1.0,0.9815991129046561
2022ApJ...931...44P_similar_llm_scored_results,0.994732373465828,0.996554491601198,0.994732373465828,0.9010833337606398,0.9437905251661792
2022ApJ...931...44P_useful_llm_scored_results,0.0,0.8233075865383235,0.6649751769714518,0.7518058586171099,0.9141467838779886
2022ApJ...931...44P_full_prompt_llm_scored_results,0.0,1.0,1.0,1.0,0.9915798629826003
2022ApJ...931...44P_manual_llm_scored_results,0.0,0.9748096423429157,0.9672709342941282,0.9236501816816758,0.92628286827535
